ko,en,cn,jp,vi,description
호델린,Hodellin,,,,v4_npc
조린,Zolin,,,,v4_npc
에코 제2현자,Second Aeko Sage,,,,v4_npc
칼네,Koni,,,,v4_npc
로친,Logan,,,,v4_npc
세바스티앙 3세,Sebastian III,,,,v4_npc
길들여진 위습,Tamed Wisp,,,,v4_npc
이상한 두들,Strange Doodle,,,,v4_npc
제노,Xeno,,,,v4_npc
트로스,Turosu,,,,v4_npc
샤티,Shawti,,,,v4_npc
에코 제3현자,Third Aeko Sage,,,,v4_npc
베비,Baebi,,,,v4_npc
두들로 변한 샤티,Doodle Shawti,,,,v4_npc
피라스,Pyras,,,,v4_npc
엔트 왕의 사념 파편,Ent King's Thought Entity Shard,,,,v4_npc
엔트 왕의 사념 조각,Ent King's Thought Entity Piece,,,,v4_npc
엔트 왕의 사념,Ent King's Thought Entity,,,,v4_npc
엔트 왕의 영혼,Ent King's Soul,,,,v4_npc
엔트 왕의 영혼 파편,Ent King's Soul Shard,,,,v4_npc
엔트 왕의 영혼 조각,Ent King's Soul Piece,,,,v4_npc
로디,Lodi,,,,v4_npc
모우,Moe,,,,v4_npc
렌츠,Renche,,,,v4_npc
에코 제4현자,Fourth Aeko Sage,,,,v4_npc
보르테,Borte,,,,v4_npc
리노어,Lenore,,,,v4_npc
바시크,Baske,,,,v4_npc
티에리,Thierry,,,,v4_npc
여행가,Traveler,,,,v4_npc
보시,Bachi,,,,v4_npc
호를,Horel,,,,v4_npc
에들헤이드,Adelhaide,,,,v4_npc
아비,Abby,,,,v4_npc
로도스,Lodos,,,,v4_npc
크밀,Kameel,,,,v4_npc
악마로 변한 가디온,Demon Guardion,,,,v4_npc
고든 지쿠스,Gordon Zikus,,,,v4_npc
주크,Zouk,,,,v4_npc
빌보,Bilbo,,,,v4_npc
본즈,Bonz,,,,v4_npc
베이커,Becker,,,,v4_npc
리즈,Reese,,,,v4_npc
라이너,Reiner,,,,v4_npc
비비안,Vivian,,,,v4_npc
안나,Anna,,,,v4_npc
데비,Dabbi,,,,v4_npc
리조,Rijo,,,,v4_npc
리코,Riko,,,,v4_npc
리나,Lina,,,,v4_npc
타론,Taron,,,,v4_npc
호킨스,Hopkins,,,,v4_npc
터커,Tucker,,,,v4_npc
케논,Kaenon,,,,v4_npc
토미,Tommy,,,,v4_npc
보크라,Bokra,,,,v4_npc
오아시스의 주인,Oasis Owner,,,,v4_npc
게릭,Garrick,,,,v4_npc
케온,Kain,,,,v4_npc
빈츠,Benje,,,,v4_npc
세나,Senna,,,,v4_npc
버크,Burke,,,,v4_npc
하비,Habi,,,,v4_npc
티나로 변한 이블린,Tina Evelyn,,,,v4_npc
펭긴트로 변한 카셀,Pengint Cassel,,,,v4_npc
다론,Daron,,,,v4_npc
인간 사냥꾼,Human Hunter,,,,v4_npc
발터,Balto,,,,v4_npc
티바 꽃장수,Tiba Flower Seller,,,,v4_npc
카텐나,Cardona,,,,v4_npc
시장 주민,Market Resident,,,,v4_npc
바시스,Basht,,,,v4_npc
아멜리,Amelie,,,,v4_npc
넋을 기리는 여인,Woman Paying Respects,,,,v4_npc
맬런,Maron,,,,v4_npc
로한의 동료,Lohan's Companion,,,,v4_npc
바델로,Badelo,,,,v4_npc
시장의 거상,Market Mogul,,,,v4_npc
엔야,Enya,,,,v4_npc
거상의 아내,Mogul's Wife,,,,v4_npc
베르케,Berke,,,,v4_npc
비단 상인,Silk Merchant,,,,v4_npc
보울란,Boullan,,,,v4_npc
치안 담당자,Security Chief,,,,v4_npc
일로,Iru,,,,v4_npc
요리 연구가,Cuisine Researcher,,,,v4_npc
아루,Aru,,,,v4_npc
동물을 사랑하는 소녀,Animal Lover,,,,v4_npc
샤비,Shavi,,,,v4_npc
드레이크 소녀,Drake Girl,,,,v4_npc
비나트,Venart,,,,v4_npc
사막의 사냥꾼,Desert Hunter,,,,v4_npc
티이아,Thea,,,,v4_npc
행복한 신부,Beautiful Bride,,,,v4_npc
탈진한 야카,Fatigued Yaka,,,,v4_npc
히라이,Hirai,,,,v4_npc
명문가의 딸,Noble Daughter,,,,v4_npc
알다라,Aldara,,,,v4_npc
히라이의 시녀,Hirai's Maid,,,,v4_npc
틸바,Tilva,,,,v4_npc
유카비 소상인,Yukabi Dealer,,,,v4_npc
파티나,Fatina,,,,v4_npc
호기심쟁이,The Curious,,,,v4_npc
그리녹,Greenog,,,,v4_npc
파티나의 아버지,Fatina's Father,,,,v4_npc
넬림,Nelim,,,,v4_npc
티보,Tibo,,,,v4_npc
키시나,Kishna,,,,v4_npc
역사학도,Student of History,,,,v4_npc
알베레스,Alvarez,,,,v4_npc
괴팍한 드레이크,Ill-Tempered Drake,,,,v4_npc
알베레스의 무서운 야수,Alvarez's Terrifying Beast,,,,v4_npc
카르보,Carbo,,,,v4_npc
발굴 조사 단장,Excavation Team Captain,,,,v4_npc
라우스테,Laosti,,,,v4_npc
비무스,Bismuth,,,,v4_npc
아눈,Anund,,,,v4_npc
발굴 조사 단원,Excavation Team Member,,,,v4_npc
카루스,Carus,,,,v4_npc
불패의 명장,Undefeated Commander,,,,v4_npc
몬타논,Montag,,,,v4_npc
고민 많은 아들,Troubled Son,,,,v4_npc
캐드린,Katrin,,,,v4_npc
모래폭포 부락민,Sandfall Townsperson,,,,v4_npc
카신,Kashin,,,,v4_npc
아베트,Abbate,,,,v4_npc
희망을 가진 청년,Hopeful Young Man,,,,v4_npc
버빅,Porvik,,,,v4_npc
사막 오크 정찰대,Desert Orc Recon,,,,v4_npc
릭스,Reeks,,,,v4_npc
사막 용병 단원,Desert Mercenary,,,,v4_npc
사막 오크,Desert Orc,,,,v4_npc
하로크,Harok,,,,v4_npc
사막 용병 단장,Desert Mercenary Captain,,,,v4_npc
바쿠,Baku,,,,v4_npc
키록,Kerok,,,,v4_npc
자칸,Zakan,,,,v4_npc
사로잡힌 용병,Captured Mercenary,,,,v4_npc
크라스,Krat,,,,v4_npc
드레이크 경비대장,Drake Guard Captain,,,,v4_npc
카프비,Kapubi,,,,v4_npc
드레이크 학자,Drake Scholar,,,,v4_npc
드레이크 전사,Drake Warrior,,,,v4_npc
조종당하는,The Manipulated,,,,v4_npc
바베스,Babaes,,,,v4_npc
보부상,Peddler,,,,v4_npc
닉슨,Nixon,,,,v4_npc
바베스의 조수,Babaes' Apprentice,,,,v4_npc
카로크,Karok,,,,v4_npc
드레이크 장인,Drake Master,,,,v4_npc
피센,Picene,,,,v4_npc
니케,Nikae,,,,v4_npc
비슬러,Vishulla,,,,v4_npc
라크,Lark,,,,v4_npc
니아,Nia,,,,v4_npc
악에 물든 도적,Sinful Thief,,,,v4_npc
악에 물든 브론,Sinful Broun,,,,v4_npc
바트라 군단,Batra Legion,,,,v4_npc
마족 하델,Daemon Hardell,,,,v4_npc
악에 물든 오크,Sinful Orc,,,,v4_npc
악에 물든 파모라,Sinful Fam'ra,,,,v4_npc
마족 바이너,Daemon Veinar,,,,v4_npc
악에 물든 자이언트,Sinful Giant,,,,v4_npc
악에 물든 보몬,Sinful Bomon,,,,v4_npc
마족 케린,Daemon Keros,,,,v4_npc
흙바람 야카,Dustwind Yaka,,,,v4_npc
흙바람 타피오,Dustwind Tapio,,,,v4_npc
베로롯,Barolos,,,,v4_npc
날선 발톱,Sharp Claws,,,,v4_npc
돌벽 타피오,Stonewall Tapio,,,,v4_npc
돌벽 두기,Stonewall Duggi,,,,v4_npc
틸리스,Tilith,,,,v4_npc
맹독 가시,Toxic Thorn,,,,v4_npc
개울 두기,Creek Duggi,,,,v4_npc
야카,Yaka,,,,v4_npc
두기,Duggi,,,,v4_npc
포악한 호통꾼,Brutal Loudmouth,,,,v4_npc
토카토카,Tocatoca,,,,v4_npc
이끼머리,Mosshead,,,,v4_npc
해안가 랍스,Shore Lobs,,,,v4_npc
해안가 리자드,Shore Lizard,,,,v4_npc
해안가 베크로,Shore Beklo,,,,v4_npc
타미쉬,Tamish,,,,v4_npc
서리 비늘,Frosty Scales,,,,v4_npc
용무덤 해골 병사,Dragon Tomb Skeleton Soldier,,,,v4_npc
용무덤 아누크,Dragon Tomb Anouk,,,,v4_npc
히골락,Higollak,,,,v4_npc
해골 지휘관,Skeleton Commandant,,,,v4_npc
사막 오크 전사,Desert Orc Warrior,,,,v4_npc
사막 오크 투사,Desert Orc Fighter,,,,v4_npc
톨로그,Tolog,,,,v4_npc
오크 지휘관,Orc Commandant,,,,v4_npc
사막 용병,Desert Mercenary,,,,v4_npc
사원 야카,Temple Yaka,,,,v4_npc
빌리스,Billis,,,,v4_npc
용병 부단장,Mercenary Vice-Captain,,,,v4_npc
베크로,Beklo,,,,v4_npc
블란,Vlan,,,,v4_npc
가들레그,Gadleg,,,,v4_npc
사암 순찰꾼,Sandstone Patroller,,,,v4_npc
사막 오크 싸움꾼,Desert Orc Battler,,,,v4_npc
사막 오크 궁수,Desert Orc Archer,,,,v4_npc
골짜기 블란,Ravine Vlan,,,,v4_npc
골짜기 아누크,Ravine Anouk,,,,v4_npc
티파사나,Tipasana,,,,v4_npc
간악한 속삭임,Wicked Whisperer,,,,v4_npc
벽바위 베크로,Rockwall Beklo,,,,v4_npc
해골 병사,Skeleton Soldier,,,,v4_npc
협곡 골렘,Canyon Golem,,,,v4_npc
타피오,Tapio,,,,v4_npc
지로조크,Jirojok,,,,v4_npc
조각난 감시자,Shattered Watcher,,,,v4_npc
골렘,Golem,,,,v4_npc
아누크,Anouk,,,,v4_npc
킹가누크,Kinganouk,,,,v4_npc
교활한 독니,Cunning Venom Fang,,,,v4_npc
할라드,Helad,,,,v4_npc
테노폼,Tenopom,,,,v4_npc
잔혹한 감시자 ,Vicious Watcher ,,,,v4_npc
돌벽 야카,Stonewall Yaka,,,,v4_npc
개울 카바,Creek Cava,,,,v4_npc
개울 코카스,Creek Kokas,,,,v4_npc
카스코,Kazko,,,,v4_npc
단단한 바위,Sturdy Boulder,,,,v4_npc
용무덤 블란,Dragon Tomb Vlan,,,,v4_npc
사원 베크로,Temple Beklo,,,,v4_npc
벽바위 골렘,Rockwall Golem,,,,v4_npc
코아들,Caudrel,,,,v4_npc
두꺼운 피부,Thick Skinned,,,,v4_npc
협곡 해골 병사,Canyon Skeleton Soldier,,,,v4_npc
협곡 아누크,Canyon Anouk,,,,v4_npc
광기 흑마법사,Crazed Black Mage,,,,v4_npc
광기 암흑전사,Crazed Dark Warrior,,,,v4_npc
광기 할라드,Crazed Helad,,,,v4_npc
혼겔,Hondell,,,,v4_npc
절망의 손길,Hand of Despair,,,,v4_npc
브로카이스,Brokut,,,,v4_npc
절명의 사신,Reaper of Death,,,,v4_npc
아델라,Adela,,,,v4_npc
구구피,Gugupi,,,,v4_npc
아키오스,Akios,,,,v4_npc
차차피,Chachapi,,,,v4_npc
캔톤,Candon,,,,v4_npc
히니스,Hinis,,,,v4_npc
에드군드,Adelgund,,,,v4_npc
로르델,Rodahl,,,,v4_npc
시티,Cetti,,,,v4_npc
도루피,Dorupi,,,,v4_npc
차비아,Zavia,,,,v4_npc
라라피,Lalapi,,,,v4_npc
알시페,Alshippe,,,,v4_npc
로로피,Roropi,,,,v4_npc
몰리,Molly,,,,v4_npc
마마피,Mamapi,,,,v4_npc
칼루엘라,Kaluella,,,,v4_npc
무무피,Mumupi,,,,v4_npc
바베카,Baveca,,,,v4_npc
황야 비토바,Wilderness Vitoba,,,,v4_npc
황야 무카,Wilderness Muka,,,,v4_npc
그을음 작은 트롤,Small Sooty Troll,,,,v4_npc
그을음 트롤,Sooty Troll,,,,v4_npc
돌먼지 슈크,Stone Dust Shuuk,,,,v4_npc
돌먼지 비토바,Stone Dust Vitoba,,,,v4_npc
코볼트 일꾼,Kobold Worker,,,,v4_npc
코볼트 관리자,Kobold Supervisor,,,,v4_npc
작은돌 무카,Small Rock Muka,,,,v4_npc
작은돌 슈크,Small Rock Shuuk,,,,v4_npc
폭포 슬라임,Waterfall Slime,,,,v4_npc
폭포 비토바,Waterfall Vitoba,,,,v4_npc
잿바람 오그혼,Ashwind Hoghorn,,,,v4_npc
잿바람 글로그,Ashwind Grog,,,,v4_npc
잿바람 호탄,Ashwind Hotan,,,,v4_npc
그을음 레디스,Sooty Ladis,,,,v4_npc
그을음 글로그,Sooty Grog,,,,v4_npc
그을음 가고일,Sooty Gargoyle,,,,v4_npc
폐허 몬시,Ruins Monsi,,,,v4_npc
폐허 할라드,Ruins Helad,,,,v4_npc
폐허 힐라온,Ruins Helaion,,,,v4_npc
돌부리 지스칼,Jagged Rock Jiskal,,,,v4_npc
돌부리 콘돌,Jagged Rock Condor,,,,v4_npc
돌부리 레피,Jagged Rock Rapi,,,,v4_npc
벨루아 정찰병,Vellua Scout,,,,v4_npc
벨루아 주술사,Vellua Mystic,,,,v4_npc
벨루아 전사,Vellua Warrior,,,,v4_npc
바위 작은 트롤,Small Boulder Troll,,,,v4_npc
바위 트롤,Boulder Troll,,,,v4_npc
바위 거대뿔 트롤,Giant Horn Boulder Troll,,,,v4_npc
황무지 티노,Wasteland Tino,,,,v4_npc
황무지 루플라,Wasteland Rueflor,,,,v4_npc
황무지 제라,Wasteland Jaela,,,,v4_npc
웅덩이 만티노,Basin Mantino,,,,v4_npc
웅덩이 카바,Basin Cava,,,,v4_npc
웅덩이 포마,Basin Poma,,,,v4_npc
코볼트 광부,Kobold Mine Worker,,,,v4_npc
코볼트 감시자,Kobold Watcher,,,,v4_npc
코볼트 감독관,Kobold Overseer,,,,v4_npc
융해 위습,Melting Wisp,,,,v4_npc
융해 베크로,Melting Beklo,,,,v4_npc
융해 차라크,Melting Shariq,,,,v4_npc
융해 이프리트,Melting Ifrit,,,,v4_npc
혼돈 할라드,Chaotic Helad,,,,v4_npc
혼돈 흑마법사,Chaotic Black Mage,,,,v4_npc
혼돈 암흑전사,Chaotic Dark Warrior,,,,v4_npc
용암 케라토,Lava Kertos,,,,v4_npc
용암 시칸,Lava Shikan,,,,v4_npc
용암 파이먼,Lava Paimon,,,,v4_npc
바라오트,Blite,,,,v4_npc
칼날 부리,Razor Beak,,,,v4_npc
칼루카,Kalloka,,,,v4_npc
성난 발톱,Clawed Rage,,,,v4_npc
밀로케,Mirok,,,,v4_npc
침묵의 습격자,Silent Marauder,,,,v4_npc
피코,Piko,,,,v4_npc
잿빛 망치,Ashen Hammer,,,,v4_npc
파라톤,Farkon,,,,v4_npc
집요한 추적자,Tenacious Tracker,,,,v4_npc
실라키오,Slakio,,,,v4_npc
폭포의 침식자,Waterfall Dweller,,,,v4_npc
마스보,Mazbo,,,,v4_npc
분노의 추방자,Enraged Exile,,,,v4_npc
라오단,Radin,,,,v4_npc
파괴의 활강,Descending Destroyer,,,,v4_npc
비드레아,Viedre,,,,v4_npc
죽음의 불길,Flames of Death,,,,v4_npc
체라트,Jerat,,,,v4_npc
교활한 탐욕자,Cunning Avarice,,,,v4_npc
베르키,Veriki,,,,v4_npc
배반의 전사,Renegade Warrior,,,,v4_npc
디볼,Dybol,,,,v4_npc
교활한 수집가,Cunning Collector,,,,v4_npc
자드갈,Jadukal,,,,v4_npc
육중한 분노,Undying Rage,,,,v4_npc
라파커스,Rapakos,,,,v4_npc
난폭한 학살자,Violent Butcher,,,,v4_npc
비코,Vigo,,,,v4_npc
잔인한 통솔자,Cruel Commander,,,,v4_npc
파이우스,Paious,,,,v4_npc
잿더미의 왕,King of Ashes,,,,v4_npc
라빌린,Lavirin,,,,v4_npc
악마의 하인,Demon's Lackey,,,,v4_npc
호바른,Hobarn,,,,v4_npc
저주받은 시선,Cursed Gaze,,,,v4_npc
아르투만,Artuman,,,,v4_npc
죽음의 장인,Master of Death,,,,v4_npc
에스텔,Estel,,,,v4_npc
토도피,Todopi,,,,v4_npc
졸리,Jolie,,,,v4_npc
토루피,Torupi,,,,v4_npc
니콜,Nicole,,,,v4_npc
보보피,Bobopi,,,,v4_npc
메이,May,,,,v4_npc
다도피,Dadopi,,,,v4_npc
블레어,Blaire,,,,v4_npc
보리피,Boripi,,,,v4_npc
해리,Harry,,,,v4_npc
니니피,Ninipi,,,,v4_npc
니키,Nicky,,,,v4_npc
노루피,Norupi,,,,v4_npc
미쉘,Michelle,,,,v4_npc
부부피,Bubupi,,,,v4_npc
벨리,Bailey,,,,v4_npc
케니피,Kenipi,,,,v4_npc
로라,Laura,,,,v4_npc
나루피,Narupi,,,,v4_npc
라파엘라,Rafaela,,,,v4_npc
베이피,Beipi,,,,v4_npc
로렌,Lorraine,,,,v4_npc
스카피,Skapi,,,,v4_npc
엘린,Ellin,,,,v4_npc
하이피,Haipi,,,,v4_npc
카이,Kay,,,,v4_npc
추추피,Chuchupi,,,,v4_npc
테임드,Thames,,,,v4_npc
앨릿,Alles,,,,v4_npc
존,John,,,,v4_npc
베르날드,Bernardo,,,,v4_npc
레이,Rei,,,,v4_npc
바낫,Bennet,,,,v4_npc
기디,Kidi,,,,v4_npc
데스터,Dexter,,,,v4_npc
드레이크 보급관,Drake Quartermaster,,,,v4_npc
드레이크 지휘관,Drake Commandant,,,,v4_npc
버넬,Burnell,,,,v4_npc
골디,Goldi,,,,v4_npc
다이아몬트,Diamonte,,,,v4_npc
디벨,Dibel,,,,v4_npc
빈,Veen,,,,v4_npc
아이단,Aidan,,,,v4_npc
야코,Yaku,,,,v4_npc
떠돌이 상단 우두머리,Wandering Merchant Chief,,,,v4_npc
떠돌이 상단 일꾼,Wandering Merchant Worker,,,,v4_npc
라프티,Raphi,,,,v4_npc
릴가,Rilgar,,,,v4_npc
알스레지,Alsuret,,,,v4_npc
신바,Cinba,,,,v4_npc
드레이크 경비병,Drake Sentry,,,,v4_npc
코발트,Cobalt,,,,v4_npc
드레이크 장로,Drake Elder,,,,v4_npc
수상한 드레이크,Suspicious Drake,,,,v4_npc
아말릭,Amalric,,,,v4_npc
드레이크 현자,Drake Sage,,,,v4_npc
가야모,Gayamo,,,,v4_npc
누야모,Nuyamo,,,,v4_npc
다야모,Dayamo,,,,v4_npc
모야모,Moyamo,,,,v4_npc
야야모,Yayamo,,,,v4_npc
이야모,Eeyamo,,,,v4_npc
파모딘,Pamodin,,,,v4_npc
푸스,Posh,,,,v4_npc
히스피,Hisupi,,,,v4_npc
플래티,Platea,,,,v4_npc
프로우스,Proust,,,,v4_npc
세나티,Senna,,,,v4_npc
니콜리,Nicholi,,,,v4_npc
라티엄,Latium,,,,v4_npc
벨라,Bella,,,,v4_npc
본,Bon,,,,v4_npc
알펀,Alvon,,,,v4_npc
실라,Cilla,,,,v4_npc
카트리,Katri,,,,v4_npc
티파사,Tipasa,,,,v4_npc
티로,Tiro,,,,v4_npc
크로드,Claude,,,,v4_npc
비체,PJ,,,,v4_npc
아티스,Athis,,,,v4_npc
웨비,Webbi,,,,v4_npc
로산,Rosahn,,,,v4_npc
메이시,Medgie,,,,v4_npc
고빌,Kobil,,,,v4_npc
갈락,Galic,,,,v4_npc
테난,Tenan,,,,v4_npc
토르길,Thorgil,,,,v4_npc
코스터,Koster,,,,v4_npc
로지,Rosie,,,,v4_npc
팔루스,Palos,,,,v4_npc
우퍼,Ulfur,,,,v4_npc
신더,Cinder,,,,v4_npc
게와드,Kewad,,,,v4_npc
키칸,Kikan,,,,v4_npc
밀렛,Milles,,,,v4_npc
드레이크 정찰병,Drake Scout,,,,v4_npc
카트마,Katma,,,,v4_npc
코바시오,Covatio,,,,v4_npc
키시,Kheesi,,,,v4_npc
라티,Raffi,,,,v4_npc
소넬,Sonell,,,,v4_npc
델마소,Delmazo,,,,v4_npc
키리라마키쿠스,Kiriramakikus,,,,v4_npc
타손,Tason,,,,v4_npc
아레이든,Areiden,,,,v4_npc
비스,Baz,,,,v4_npc
트라도스,Trados,,,,v4_npc
우보,Ubo,,,,v4_npc
호드릭,Hodric,,,,v4_npc
샤나르트,Shanard,,,,v4_npc
베아트,Vehath,,,,v4_npc
브리트,Britte,,,,v4_npc
스페릴,Speryl,,,,v4_npc
나케도,Nikaido,,,,v4_npc
회복사,Healer,,,,v4_npc
네데스,Naedas,,,,v4_npc
릭키,Rikki,,,,v4_npc
우로스,Uros,,,,v4_npc
차르키,Chuki,,,,v4_npc
리부스,Livus,,,,v4_npc
사비,Savvi,,,,v4_npc
가론,Garron,,,,v4_npc
치로스,Chiroth,,,,v4_npc
가로비,Garvey,,,,v4_npc
타피온,Taphion,,,,v4_npc
기네소,Gwyneth,,,,v4_npc
라그비,Ragvi,,,,v4_npc
게비크,Gevik,,,,v4_npc
나라스,Narath,,,,v4_npc
바로스,Varoth,,,,v4_npc
자고비,Zigovi,,,,v4_npc
소비닐,Sobinil,,,,v4_npc
라어드,Laird,,,,v4_npc
니어스,Niurth,,,,v4_npc
라비크,Ravik,,,,v4_npc
빌프스,Bilpis,,,,v4_npc
크보닐,Kubonil,,,,v4_npc
파그닐,Vaknil,,,,v4_npc
차비온,Chavion,,,,v4_npc
파다라,Padara,,,,v4_npc
거니스,Gunith,,,,v4_npc
니펠,Nivian,,,,v4_npc
자르,Zar,,,,v4_npc
게벨,Gobehl,,,,v4_npc
길라탄,Gillatan,,,,v4_npc
빌라트,Velit,,,,v4_npc
하넬,Harnel,,,,v4_npc
라그닐,Ragnil,,,,v4_npc
페페로,Vepero,,,,v4_npc
스베릴,Spaeril,,,,v4_npc
소호넬,Sojourn,,,,v4_npc
다노비,Danobi,,,,v4_npc
요크라,Yokula,,,,v4_npc
갈라비,Gallobi,,,,v4_npc
프린크,Frink,,,,v4_npc
세바스티앙 4세,Sebastian IV,,,,v4_npc
길들여진 이프리트,Tamed Ifrit,,,,v4_npc
스테파나,Stefania,,,,v4_npc
아크민,Akmin,,,,v4_npc
스티브니,Stibni,,,,v4_npc
벤델,Bendel,,,,v4_npc
카드난,Kardnan,,,,v4_npc
볼칸,Bolkan,,,,v4_npc
고대 악마,Ancient Demon,,,,v4_npc
호비스,Hobis,,,,v4_npc
테라노,Terano,,,,v4_npc
다르비,Darby,,,,v4_npc
실베리,Silveri,,,,v4_npc
토우,Tove,,,,v4_npc
넋이 나간 드레이크,Shell-Shocked Drake,,,,v4_npc
카일룩,Kyluk,,,,v4_npc
거대 갈고리,Giant Hook,,,,v4_npc
오아시스의 악마,Oasis Demon,,,,v4_npc
쾌속의 화살,Rapid Arrow,,,,v4_npc
흉폭의 대검,Ferocious Greatsword,,,,v4_npc
굶주린 마물,Starving Evil,,,,v4_npc
사막 오크 족장,Desert Orc Chief,,,,v4_npc
이야기꾼,Storyteller,,,,v4_npc
마을 소녀,Village Girl,,,,v4_npc
영웅을 꿈꾸는 소년,Hero Worshipper,,,,v4_npc
사려깊은 드레이크,Considerate Drake,,,,v4_npc
플래티의 오빠,Platea's Older Brother,,,,v4_npc
허풍쟁이 상인,Merchant Braggart,,,,v4_npc
겁쟁이 상인,Cowardly Merchant,,,,v4_npc
고집쟁이 드레이크,Stubborn Drake,,,,v4_npc
폐광산의 노파,Abandoned Mine Hag,,,,v4_npc
견습 수호자,Apprentice Guardian,,,,v4_npc
초보 모험가,Novice Adventurer,,,,v4_npc
베테랑 모험가,Veteran Adventurer,,,,v4_npc
꿈 많은 건축가,Ambitious Architect,,,,v4_npc
드레이크 건축 장인,Draken Architecture Master,,,,v4_npc
토르길의 도제,Thorgil's Pupil,,,,v4_npc
드레이크 중대장,Drake Squad Commander,,,,v4_npc
드레이크 병사,Drake Soldier,,,,v4_npc
이름난 요리사,Renowned Cook,,,,v4_npc
드레이크 주민,Drake Resident,,,,v4_npc
콘돌 알 상인,Condor Egg Merchant,,,,v4_npc
변절한 벨루아,Vellua Traitor,,,,v4_npc
마을의 대표,Village Representative,,,,v4_npc
귀염둥이 화가,Darling Painter,,,,v4_npc
화훼 장식가,Floral Decorator,,,,v4_npc
행사 책임자,Event Director,,,,v4_npc
만티노의 후견인,Mantino Supporter,,,,v4_npc
귀티나는 만티노,Elegant Mantino,,,,v4_npc
불만 있어 보이는 상인,Restless Merchant,,,,v4_npc
무기를 싫어하는 소년,Nonviolent Boy,,,,v4_npc
거만한 귀족,Arrogant Noble,,,,v4_npc
악마 사냥꾼,Demon Hunter,,,,v4_npc
길라잡이 노인,Old-Timey Guide,,,,v4_npc
샤딜리,Shadilli,,,,v4_npc
코네트르,Conetro,,,,v4_npc
외르케,Ulrich,,,,v4_npc
호야모,Hoyamo,,,,v4_npc
나제,Narze,,,,v4_npc
유디,Yudi,,,,v4_npc
디디피,Didipi,,,,v4_npc
모투스,Motus,,,,v4_npc
쿠디아,Kudia,,,,v4_npc
루야모,Ruyamo,,,,v4_npc
아우디레,Audileh,,,,v4_npc
체니,Chaney,,,,v4_npc
트라우어,Troy,,,,v4_npc
카트리나,Katrina,,,,v4_npc
샤샤피,Shashapi,,,,v4_npc
로이에,Royle,,,,v4_npc
티아나,Tiana,,,,v4_npc
아틀러,Atulla,,,,v4_npc
크로시,Cross,,,,v4_npc
포포피,Popopi,,,,v4_npc
론디네,Rondine,,,,v4_npc
토퍼,Topher,,,,v4_npc
파이피,Paipi,,,,v4_npc
아리에스,Ariath,,,,v4_npc
비르타,Berta,,,,v4_npc
미야모,Miyamo,,,,v4_npc
프리니에,Pliniae,,,,v4_npc
오이시나,Oishna,,,,v4_npc
도도피,Dodopi,,,,v4_npc
라신,Racine,,,,v4_npc
필리,Fili,,,,v4_npc
로이피,Roypi,,,,v4_npc
아우룸,Arum,,,,v4_npc
에르니힐,Erunihil,,,,v4_npc
라리피,Raripi,,,,v4_npc
아체르,Archero,,,,v4_npc
세스티,Cesti,,,,v4_npc
엘가,Aelga,,,,v4_npc
캐스벳,Caspian,,,,v4_npc
페즈,Pez,,,,v4_npc
비르게,Berger,,,,v4_npc
비비피,Bibipi,,,,v4_npc
미니모,Minimo,,,,v4_npc
후야모,Huyamo,,,,v4_npc
베리피,Beripi,,,,v4_npc
리지에,Richie,,,,v4_npc
아미피,Amipi,,,,v4_npc
카야모,Kayamo,,,,v4_npc
그리피,Gripi,,,,v4_npc
하디피,Hadipi,,,,v4_npc
테온,Teon,,,,v4_npc
아누피,Anupi,,,,v4_npc
베티온,Bastion,,,,v4_npc
칼렌,Kalen,,,,v4_npc
사이먼,Simon,,,,v4_npc
드미트리,Dmitri,,,,v4_npc
하야모,Hayamo,,,,v4_npc
시나티스,Shinatis,,,,v4_npc
아이라,Ira,,,,v4_npc
베트,Baerd,,,,v4_npc
이올라,Iola,,,,v4_npc
리아,Lia,,,,v4_npc
제르고리,Gregory,,,,v4_npc
아딜,Adil,,,,v4_npc
도나단,Donovan,,,,v4_npc
체드,Chet,,,,v4_npc
드리스,Duris,,,,v4_npc
계곡 티나,Valley Tina,,,,v4_npc
계곡 오르가,Valley Orga,,,,v4_npc
라드엘,Radiehl,,,,v4_npc
눈꽃 야카,Snowbloom Yaka,,,,v4_npc
강화술사,Enhanced Mage,,,,v4_npc
슈라,Shura,,,,v4_npc
릴리스,Lilith,,,,v4_npc
들판 크로우,Prairie Crow,,,,v4_npc
굶주린 망자,Starving Revenant,,,,v4_npc
되살아난 망자,Reanimated Revenant,,,,v4_npc
흉폭 해골 병사,Ferocious Skeleton Soldier,,,,v4_npc
흉폭 할라드,Ferocious Helad,,,,v4_npc
저주 힐라온,Cursed Helaion,,,,v4_npc
저주 시칸,Cursed Shikan,,,,v4_npc
저주 티툴라,Cursed Tetrola,,,,v4_npc
저주 흑마법사,Cursed Black Mage,,,,v4_npc
타락한 전사,Corrupt Warrior,,,,v4_npc
타락한 궁사,Corrupt Archer,,,,v4_npc
설원 비즐리,Snowfield Beezly,,,,v4_npc
설원 칼잡이 도적,Snowfield Rogue,,,,v4_npc
설원 도끼잡이 도적,Snowfield Axe-Wielding Thief,,,,v4_npc
타락한 마법사,Corrupt Mage,,,,v4_npc
폐허 티툴라,Ruins Tetrola,,,,v4_npc
폐허 글로그,Ruins Grog,,,,v4_npc
